Fecha-hora;Temperatura máxima ºC;Temperatura mínima ºC;Precipitación acumulada l/m²;
01/01/2006 00:00:00;2.0;0.0;22.2
02/01/2006 00:00:00;2.0;2.0;24.5
03/01/2006 00:00:00;1.0;0.0;4.5
04/01/2006 00:00:00;4.0;0.0;12.0
05/01/2006 00:00:00;3.0;1.0;1.0
06/01/2006 00:00:00;2.0;1.0;0.0
07/01/2006 00:00:00;5.0;2.0;12.3
08/01/2006 00:00:00;4.0;3.0;10.6
09/01/2006 00:00:00;4.0;4.0;9.4
10/01/2006 00:00:00;3.0;1.0;0.0
11/01/2006 00:00:00;5.0;1.0;0.0
12/01/2006 00:00:00;5.0;0.0;0.0
13/01/2006 00:00:00;1.0;0.0;0.0
14/01/2006 00:00:00;0.0;0.0;0.0
15/01/2006 00:00:00;2.0;0.0;0.0
16/01/2006 00:00:00;1.0;1.0;0.0
17/01/2006 00:00:00;5.0;0.0;2.0
18/01/2006 00:00:00;5.0;4.0;14.7
19/01/2006 00:00:00;5.0;4.0;0.0
20/01/2006 00:00:00;5.0;4.0;0.0
21/01/2006 00:00:00;4.0;4.0;0.0
22/01/2006 00:00:00;4.0;0.0;0.0
23/01/2006 00:00:00;8.0;-4.0;0.0
24/01/2006 00:00:00;1.0;0.0;0.0
25/01/2006 00:00:00;1.0;0.0;0.0
26/01/2006 00:00:00;0.0;-5.0;0.0
27/01/2006 00:00:00;-2.0;-3.0;2.0
28/01/2006 00:00:00;-3.0;-4.0;0.0
29/01/2006 00:00:00;-1.0;-13.0;0.0
30/01/2006 00:00:00;2.0;-2.0;3.2
31/01/2006 00:00:00;4.0;2.0;0.0
01/02/2006 00:00:00;8.0;0.0;0.0
02/02/2006 00:00:00;11.0;-6.0;0.0
03/02/2006 00:00:00;1.0;-5.0;0.0
04/02/2006 00:00:00;0.0;-2.0;0.0
05/02/2006 00:00:00;0.0;-3.0;0.0
06/02/2006 00:00:00;5.0;-2.0;0.0
07/02/2006 00:00:00;5.0;-2.0;0.0
08/02/2006 00:00:00;3.0;-7.0;0.0
09/02/2006 00:00:00;5.0;-3.0;0.0
10/02/2006 00:00:00;5.0;0.0;0.0
11/02/2006 00:00:00;4.0;-5.0;0.0
12/02/2006 00:00:00;5.0;-3.0;0.0
13/02/2006 00:00:00;12.0;-3.0;0.0
14/02/2006 00:00:00;8.0;-6.0;0.0
15/02/2006 00:00:00;9.0;-2.0;0.0
16/02/2006 00:00:00;10.0;7.0;0.0
17/02/2006 00:00:00;8.0;2.0;0.0
18/02/2006 00:00:00;8.0;3.0;4.0
